Supplier,VAT Exclusive,VAT,Zimasa VAT Inclusive,Date
Bokamoso Farm Stay (Bfs),,0.0,0.0,2023-12-01
City Lodge Hotel,,832.57,6383.0,2023-12-01
Cu Guest House (Cug),,7888.71,60480.0,2023-12-01
Fly Safair (640),,1215.48,9318.72,2023-12-01
Garden Court,,210.0,1610.0,2023-12-01
Garden Court,,1685.22,12920.0,2023-12-01
Hertz King Shaka Durban (Hks),,0.0,4114.08,2023-12-01
Hertz Or Tambo Or Tambo (Htz),,1095.65,8400.0,2023-12-01
Hertz Rent A Car  Mahikeng Mahikeng (Hrm),,276.01,2116.11,2023-12-01
Hilton,,1170.0,8970.0,2023-12-01
K&B Guesthouse (Kng),,12052.18,92400.0,2023-12-01
Kenzo Guest House (Kgh),,0.0,0.0,2023-12-01
Kings Guest House (Kig),,430.43,3300.0,2023-12-01
Letsatsing Lodge (Lel),,215.22,1650.0,2023-12-01
Lily Park Lodge (Lpl),,6586.95,50500.0,2023-12-01
Safari Lodge,,1432.17,10980.0,2023-12-01
Ndaba Guest Lodge (Ndl),,391.3,3000.0,2023-12-01
Nwu Sports Village (Sv),,331.3,2540.0,2023-12-01
Peermont Walmont Hotel At Graceland (Pwg),,16986.91,130233.0,2023-12-01
Premier Hotel O.R. Tambo (Pho),,1223.48,9380.0,2023-12-01
Protea By Marriott,,777.2,5958.5,2023-12-01
Protea By Marriott,,10539.13,80800.0,2023-12-01
Protea Hotel By Marriot Klerksdorp (Pkk),,223.05,1710.0,2023-12-01
Sonskyn Hof Guest House (Shg),,615.65,4720.0,2023-12-01
Southern Sun,,1311.66,10056.05,2023-12-01
Stayeasy Rustenburg (Str),,210.0,1610.0,2023-12-01
Sun City,,1065.27,8167.15,2023-12-01
Sundown Country Estate (Sce),,486.26,3728.0,2023-12-01
The Capital,,221.74,1700.0,2023-12-01
The Capital,,1286.09,9860.0,2023-12-01
The Kingdom Resort (Tkr),,766.96,5880.0,2023-12-01
Tlmz Guest House (Tmz),,576.0,4416.0,2023-12-01
Tuscany Hill Manor (Thm),,7982.61,61200.0,2023-12-01
Villa Maria Guest Lodge (Vmg),,984.13,7544.98,2023-12-01
Anew Hotel,,890.19,6824.82,2024-01-01
Anta Boga Hotel (Abh),,213.91,1640.0,2024-01-01
Avis Or Tambo (Avo),,1217.66,9335.39,2024-01-01
Be@Home,,600.0,4600.0,2024-01-01
City Lodge Hotel,,1611.52,12355.0,2024-01-01
City Lodge Hotel,,3464.35,26560.0,2024-01-01
City Lodge Hotel,,1137.39,8720.0,2024-01-01
Emirates Airline (176),,12374.09,94868.0,2024-01-01
Fly Safair (640),,1176.95,9023.25,2024-01-01
Hertz Rent A Car - Cape Town International Airport (Hrc),,150.91,1157.0,2024-01-01
K&B Guesthouse (Kng),,9469.57,72600.0,2024-01-01
Lion'S Rest Guest House (Lir),,7304.35,56000.0,2024-01-01
Marang Gardens Lodge (Mgl),,1158.26,8880.0,2024-01-01
Mcathama Shuttle & Tours (Mct),,2233.04,17120.0,2024-01-01
Oak Park And Conference Centre (Okp),,203.48,1560.0,2024-01-01
Orion Safari,,2942.61,22560.0,2024-01-01
Protea By Marriott,,2267.27,17382.4,2024-01-01
Protea By Marriott,,1154.35,8850.0,2024-01-01
Protea By Marriott,,197.59,1514.85,2024-01-01
Protea Hotel By Marriot Klerksdorp (Pkk),,997.83,7650.0,2024-01-01
"Rufaro Hotel, Conference & Spa (Rcs)",,1702.17,13050.0,2024-01-01
S A Airways (083),,652.63,5003.56,2024-01-01
Sandton Lodge Rivonia (Slr),,453.91,3480.0,2024-01-01
Sefapane Lodge & Safaris (Sls),,436.96,3350.0,2024-01-01
Stayeasy Cape Town (St),,2896.94,22209.88,2024-01-01
Stayeasy Rustenburg (Str),,2134.82,16366.95,2024-01-01
Sundown Country Estate (Sce),,2136.52,16380.0,2024-01-01
The Capital,,592.17,4540.0,2024-01-01
The Royal Marang Hotel (Trm),,790.96,6064.0,2024-01-01
Three Oaks And An Aloe Boutique Hotel (Toh),,920.87,7060.0,2024-01-01
Treefern Guesthouse With Spa (Tfg),,2034.78,15600.0,2024-01-01
42 Upon Williams Guesthouse (42W),,313.04,2400.0,2024-02-01
Anew Green Point Cape Town (An),,1287.39,9870.0,2024-02-01
Anew Hotel,,1995.66,15300.0,2024-02-01
Avis Rent A Car - Cape Town International Airport (Avi),,71.74,550.0,2024-02-01
Be@Home,,150.0,1150.0,2024-02-01
Casa Grand Bb (Cgd),,319.57,2450.0,2024-02-01
Cashan Bnb (Cbb),,508.7,3900.0,2024-02-01
City Lodge Hotel,,1142.61,8760.0,2024-02-01
Evander Guest House (Egh),,2664.78,20430.0,2024-02-01
Garden Court,,420.0,3220.0,2024-02-01
K&B Guesthouse (Kng),,6026.09,46200.0,2024-02-01
Kassaboera Lodge (Kl),,1695.66,13000.0,2024-02-01
Kenzo Guest House (Kgh),,2080.43,15950.0,2024-02-01
Kriel Bed & Breakfast (Krl),,978.26,7500.0,2024-02-01
"La Patre Resturant, Guesthouse & Conference (Lpt)",,528.26,4050.0,2024-02-01
Lagoon Beach Hotel & Spa (Lgh),,0.0,0.0,2024-02-01
Lala @ Night Guesthouse (Lng),,3423.9,26250.0,2024-02-01
Letaba Junction (Ltj),,417.39,3200.0,2024-02-01
Lily Park Lodge (Lpl),,11895.65,91200.0,2024-02-01
Limbali Cottages (Lbc),,1865.23,14300.0,2024-02-01
Masego Guest House (Mgh),,1017.41,7800.0,2024-02-01
Orion Safari,,1878.26,14400.0,2024-02-01
Protea By Marriott,,487.83,3740.0,2024-02-01
Protea Hotel By Marriot Klerksdorp (Pkk),,425.22,3260.0,2024-02-01
Shaka Tours & Safaris (Sts),,83.48,640.0,2024-02-01
Southern Sun,,443.48,3400.0,2024-02-01
Stayeasy Rustenburg (Str),,1260.0,9660.0,2024-02-01
Sundown Country Estate (Sce),,2195.22,16830.0,2024-02-01
The Kingdom Resort (Tkr),,415.83,3188.0,2024-02-01
Thee Gesthouse (Tgh),,391.3,3000.0,2024-02-01
Treefern,,2441.74,18720.0,2024-02-01
@Home Guest House (Hgh),,169.57,1300.0,2024-03-01
Airport Inn & Suites Isando (Api),,241.7,1853.0,2024-03-01
Andante Guesthouse (Ang),,1045.43,8015.0,2024-03-01
Anew Hotel,,746.17,5720.6,2024-03-01
Avis Or Tambo (Avo),,727.65,5578.68,2024-03-01
Be@Home,,450.0,3450.0,2024-03-01
Coastlands Umhlanga Hotel & Convention Centre (Cuh),,228.26,1750.0,2024-03-01
Evander Guest House (Egh),,4265.22,32700.0,2024-03-01
Garden Court,,744.25,5705.9,2024-03-01
Goldreef City Theme Park (Gfc),,5765.76,44204.1,2024-03-01
K&B Guesthouse (Kng),,9900.0,75900.0,2024-03-01
K3B Guesthouse (Kbg),,443.48,3400.0,2024-03-01
Kassaboera Lodge (Kl),,1186.96,9100.0,2024-03-01
Kenzo Guest House (Kgh),,2458.69,18850.0,2024-03-01
Kriel Bed & Breakfast (Krl),,508.71,3900.0,2024-03-01
"La Patre Resturant, Guesthouse & Conference (Lpt)",,176.09,1350.0,2024-03-01
Lala @ Night Guesthouse (Lng),,1826.08,14000.0,2024-03-01
Lekay Events And Projects (Lep),,404.35,3100.0,2024-03-01
Lily Park Lodge (Lpl),,14743.04,113030.0,2024-03-01
Limbali Cottages (Lbc),,1186.97,9100.0,2024-03-01
Masego Guest House (Mgh),,339.13,2600.0,2024-03-01
Orion Safari,,2150.22,16485.0,2024-03-01
Palm Swift,,502.18,3850.0,2024-03-01
Peermont Walmont Hotel At Graceland (Pwg),,10392.39,79675.0,2024-03-01
Protea By Marriott,,461.74,3540.0,2024-03-01
Rio Hotel Casino Resort (Rhc),,223.04,1710.0,2024-03-01
S A Airways (083),,9587.68,73505.6,2024-03-01
Southern Sun,,1973.41,15129.45,2024-03-01
Southern Sun,,3127.18,23975.04,2024-03-01
Southern Sun,,303.34,2325.59,2024-03-01
Southern Sun,,558.48,4281.7,2024-03-01
Stayeasy Rustenburg (Str),,210.0,1610.0,2024-03-01
Sun City,,798.27,6120.0,2024-03-01
Sun City,,443.48,3400.0,2024-03-01
The One Lodge (Tl),,743.48,5700.0,2024-03-01
The Red Cherry Guest House (Trc),,195.65,1500.0,2024-03-01
The Royal Marang Hotel (Trm),,519.13,3980.0,2024-03-01
Thee Gesthouse (Tgh),,1173.91,9000.0,2024-03-01
Umthunzi Hotel & Conference (Umh),,199.57,1530.0,2024-03-01
Villa Gracia,,159.13,1220.0,2024-03-01
42 Upon Williams Guesthouse (42W),,333.91,2560.0,2024-04-01
Alec Wright'S Guest Lodge (Awg),,184.5,1414.5,2024-04-01
Avis Rent A Car - Cape Town International Airport (Avi),,528.32,4050.47,2024-04-01
Be@Home,,750.0,5750.0,2024-04-01
Beachcomber Bay (Bcb),,450.0,3450.0,2024-04-01
Blackrock Resort (Brr),,756.52,5800.0,2024-04-01
Casa Lumini Guest House (Clm),,900.0,6900.0,2024-04-01
Cashan Bnb (Cbb),,169.57,1300.0,2024-04-01
Club Cocomo Guest House (Clg),,339.14,2600.0,2024-04-01
Cradle Health Spa (Chs),,247.83,1900.0,2024-04-01
Elgro Hotel Potchefstroom (Ehp),,2640.0,20240.0,2024-04-01
Fly Safair (640),,0.0,30395.4,2024-04-01
Garden Court,,210.0,1610.0,2024-04-01
Garden Court,,630.0,4830.0,2024-04-01
Hertz Rent A Car - Cape Town International Airport (Hrc),,2713.04,20800.0,2024-04-01
Hotel Sky Cape Town (Hsy),,4390.8,33662.8,2024-04-01
Intercape Cape Town,,79841.46,612117.95,2024-04-01
K&B Guesthouse (Kng),,215.22,1650.0,2024-04-01
K3B Guesthouse (Kbg),,221.74,1700.0,2024-04-01
Kassaboera Lodge (Kl),,1526.11,11700.0,2024-04-01
Kenzo Guest House (Kgh),,1323.91,10150.0,2024-04-01
La Joya Lodge And Spa Pty (Ltd) (Ljl),,10234.57,78465.0,2024-04-01
Lagoon Beach Hotel & Spa (Lgh),,1240.7,9512.0,2024-04-01
Lala @ Night Guesthouse (Lng),,6247.81,47900.0,2024-04-01
Lekay Events And Projects (Lep),,404.35,3100.0,2024-04-01
Lily Park Lodge (Lpl),,0.0,0.0,2024-04-01
Limbali Cottages (Lbc),,4747.87,36400.0,2024-04-01
Masego Guest House (Mgh),,847.84,6500.0,2024-04-01
Mawala Lodge (Mwl),,189.13,1450.0,2024-04-01
Mmabatho Palms Hotel Casino Convention Resort (Mbp),,665.22,5100.0,2024-04-01
Mogologadikwe Gardens (Mgd),,313.04,2400.0,2024-04-01
Orion Safari,,7160.88,54900.0,2024-04-01
Palm Swift,,1023.91,7850.0,2024-04-01
Peermont Walmont Hotel At Graceland (Pwg),,12165.0,93265.0,2024-04-01
Protea By Marriott,,5989.28,45917.75,2024-04-01
Protea Hotel By Marriot Klerksdorp (Pkk),,1064.35,8160.0,2024-04-01
Ratlou Guest House (Ruh),,195.65,1500.0,2024-04-01
Road Lodge Potchefstoom (Rdp),,130.43,1000.0,2024-04-01
Seasons Leisure Golf Spa (Slg),,573.26,4395.0,2024-04-01
Sekelbos Guesthouse (Seh),,1314.78,10080.0,2024-04-01
Southern Sun,,2023.04,15510.0,2024-04-01
Southern Sun,,1536.52,11780.0,2024-04-01
Stayeasy Rustenburg (Str),,840.0,6440.0,2024-04-01
Sun City,,1331.75,10210.0,2024-04-01
Sun City,,2478.26,19000.0,2024-04-01
Sun City,,1579.57,12110.0,2024-04-01
Sundown Country Estate (Sce),,200.22,1535.0,2024-04-01
Tapologo Guest Lodge (Tgl),,143.48,1100.0,2024-04-01
The Oasis Hotel Upington (Osh),,217.83,1670.0,2024-04-01
The Red Cherry Guest House (Trc),,1421.74,10900.0,2024-04-01
Thee Gesthouse (Tgh),,1173.91,9000.0,2024-04-01
Town Lodge,,897.39,6880.0,2024-04-01
Town Lodge,,768.91,5895.0,2024-04-01
Tuscany Hotel (Tsc),,195.65,1500.0,2024-04-01
Umthunzi Hotel & Conference (Umh),,598.71,4590.0,2024-04-01
Umuzi Lodge (Uml),,1685.22,12920.0,2024-04-01
Vaal De Vue (Vdv),,0.0,1510.0,2024-04-01
Villa Brocant Guesthouse (Vbg),,357.39,2740.0,2024-04-01
Villa Mae Guest House (Vlm),,156.52,1200.0,2024-04-01
@Home Guest House (Hgh),,352.17,2700.0,2024-05-01
Abella Guest House (Abl),,228.26,1750.0,2024-05-01
Anew Hotel,,1982.44,15934.13,2024-05-01
Anew Resort,,1249.57,12800.0,2024-05-01
Bakubung Bush Lodge (Bkb),,18403.02,141090.0,2024-05-01
Be@Home,,150.0,1150.0,2024-05-01
Benhais Guesthouse (Ben),,339.13,2600.0,2024-05-01
Blackrock Resort (Brr),,378.26,2900.0,2024-05-01
City Lodge Hotel,,2285.22,17520.0,2024-05-01
City Lodge Hotel,,616.3,4725.0,2024-05-01
Global Transfers (Glt),,1056.0,8096.0,2024-05-01
Green Side Accomodation (Gs),,563.48,4320.0,2024-05-01
Sun City,,9000.0,69000.0,2024-05-01
Hertz Port Elizabeth Plz (Hpz),,272.64,2090.26,2024-05-01
Hollard  Travel Insurance (Hld),,234.0,1794.0,2024-05-01
Hotel Sky Sandton (Hss),,869.43,6665.6,2024-05-01
Intercape Cape Town,,67857.71,520242.34,2024-05-01
K3B Guesthouse (Kbg),,691.31,5300.0,2024-05-01
Kassaboera Lodge (Kl),,1526.09,11700.0,2024-05-01
Klondike Lodge (Kld),,366.52,2810.0,2024-05-01
Kriel Bed & Breakfast (Krl),,187.83,1440.0,2024-05-01
"La Patre Resturant, Guesthouse & Conference (Lpt)",,1760.87,13500.0,2024-05-01
Lala @ Night Guesthouse (Lng),,1141.3,8750.0,2024-05-01
Lamema Guest House (Lmm),,136.96,1050.0,2024-05-01
Leonardo Royal Hotel London City (Lrh),,3278.74,25137.0,2024-05-01
Lily Park Lodge (Lpl),,547.83,8400.0,2024-05-01
Luxe Corp Nairobi (Lxc),,2351.36,18027.12,2024-05-01
Masego Guest House (Mgh),,678.26,5200.0,2024-05-01
Mmabatho Palms Hotel Casino Convention Resort (Mbp),,886.96,6800.0,2024-05-01
Modcharm Guesthouse( Mogwasi) (Mcg),,1252.18,9600.0,2024-05-01
Modizen Guest House (Mdz),,3543.9,27170.0,2024-05-01
Mogologadikwe Gardens (Mgd),,156.52,1200.0,2024-05-01
Morning Star Express Hotel  (Inani) (Meh),,1549.56,11880.0,2024-05-01
Motheo Exquisite Guesthouse (Meg),,260.87,2000.0,2024-05-01
Orion Safari,,4378.69,33570.0,2024-05-01
Oryx Boutique Hotel (Obh),,8493.91,65120.0,2024-05-01
Pan Pacific Serviced Suites Nairobi Shuttles (Pss),,494.84,3793.78,2024-05-01
Pan Pacific Suites (Pps),,6934.04,53161.0,2024-05-01
Peermont Meetcourt Rio Klerksdorp (Prc),,210.0,1610.0,2024-05-01
Peermont Walmont Hotel At Graceland (Pwg),,10034.22,76929.0,2024-05-01
Potch Manor Boutique Guest House (Pmb),,1972.17,15120.0,2024-05-01
Premier Hotel O.R. Tambo (Pho),,461.74,3540.0,2024-05-01
Protea By Marriott,,1495.7,12639.09,2024-05-01
Protea By Marriott,,1606.99,17555.06,2024-05-01
Radisson Red London Heathrow (Rrl),,4020.15,30821.16,2024-05-01
S A Airlink (749),,0.0,21880.0,2024-05-01
Seokobale Guesthouse (Skg),,195.65,1500.0,2024-05-01
Southern Sun,,1125.0,8625.0,2024-05-01
Southern Sun,,3780.0,28980.0,2024-05-01
Spacube Luxury Suites And Spa (Sxs),,1528.7,11720.0,2024-05-01
Stayeasy Rustenburg (Str),,1827.4,14010.0,2024-05-01
Sun City,,11973.91,91800.0,2024-05-01
The Feather Hill Boutique Hotel (Thf),,251.09,1925.0,2024-05-01
The King'S Palace Hotel (Kpc),,1496.74,11475.0,2024-05-01
The Red Cherry Guest House (Trc),,1043.48,8000.0,2024-05-01
The Royal Marang Hotel (Trm),,519.13,3980.0,2024-05-01
The Venue Country Hotel & Spa (Tvc),,1323.91,10150.0,2024-05-01
Umthunzi Hotel & Conference (Umh),,858.14,6579.0,2024-05-01
Virgin Atlantic,,0.0,63852.9,2024-05-01
37 On Eagles (37O),,1031.74,7910.0,2024-06-01
@Home Guest House (Hgh),,169.57,1300.0,2024-06-01
Abella Guest House (Abl),,456.52,3500.0,2024-06-01
Agapé Boutique Guesthouse (Agp),,247.83,1900.0,2024-06-01
Anew Hotel,,9818.61,75276.0,2024-06-01
Anew Resort,,886.96,6800.0,2024-06-01
Arcadia Hotel (Aaa),,228.26,1750.0,2024-06-01
Avis (Avs),,9049.59,69380.11,2024-06-01
Blue Waters Hotel (Bwh),,1027.2,7875.2,2024-06-01
Boitumelo Lodges & Conference Facility (Bgh),,2830.43,21700.0,2024-06-01
Casa Villa Guesthouse (Cvg),,1627.83,12480.0,2024-06-01
Château La Mer Exclusive Guesthouse (Cmg),,1056.52,8100.0,2024-06-01
Club Cocomo Guest House (Clg),,1017.4,7800.0,2024-06-01
Fly Safair (640),,1697.84,13016.7,2024-06-01
Garden Court,,1050.0,8050.0,2024-06-01
Garden Court,,254.89,1954.15,2024-06-01
Hertz Port Elizabeth Plz (Hpz),,125.94,965.54,2024-06-01
Ikanyeng Guest House (Ikn),,1095.65,8400.0,2024-06-01
Intercape Cape Town,,70147.69,537799.0,2024-06-01
Kassaboera Lodge (Kl),,1865.22,14300.0,2024-06-01
Kings Guest House (Kig),,294.78,2260.0,2024-06-01
Kwa Maritane Bush Lodge (Kmb),,1191.0,9131.0,2024-06-01
La Joya Lodge And Spa Pty (Ltd) (Ljl),,5191.3,39800.0,2024-06-01
Lanas Boutique Hotel (Lnh),,1460.87,11200.0,2024-06-01
Masego Guest House (Mgh),,847.83,6500.0,2024-06-01
Mmabatho Palms Hotel Casino Convention Resort (Mbp),,4625.21,35460.0,2024-06-01
Mum To Be Spa And Wellness Centre (Mtb),,339.13,2600.0,2024-06-01
Orion Safari,,3421.3,26230.0,2024-06-01
Oryx Boutique Hotel (Obh),,502.17,3850.0,2024-06-01
Palm Swift,,339.13,2600.0,2024-06-01
Palm Valley Inn And Day Spa Hartbeespoort (Pvi),,890.71,6828.75,2024-06-01
Peermont Meetcourt Rio Klerksdorp (Prc),,2424.0,18584.0,2024-06-01
Premier Hotel Umhlanga (Puu),,3957.4,30340.0,2024-06-01
Protea By Marriott,,0.0,5693.42,2024-06-01
Protea By Marriott,,6191.48,47468.01,2024-06-01
Protea Hotel Durban Umhlanga (Pru),,739.49,5669.4,2024-06-01
Royal Highness Lux  Guest House (Rhl),,9900.0,75900.0,2024-06-01
S A Airways (083),,834.0,11754.0,2024-06-01
Sheraton Pretoria Hotel (Sph),,1982.61,15200.0,2024-06-01
Southern Sun,,881.74,6760.0,2024-06-01
The Edward (Tes),,531.0,4071.0,2024-06-01
The Kingdom Resort (Tkr),,668.09,5121.99,2024-06-01
The Royal Guest House (Thr),,492.75,3777.75,2024-06-01
Three Oaks And An Aloe Boutique Hotel (Toh),,14368.67,110159.83,2024-06-01
Tuscany Hotel (Tsc),,1007.61,7725.0,2024-06-01
Umthunzi Hotel & Conference (Umh),,628.64,4819.5,2024-06-01
Villa Brocant Guesthouse (Vbg),,361.7,2773.0,2024-06-01
Westville Bed & Breakfast (Wvg),,240.65,1845.0,2024-06-01
Whara Whara Guesthouse,,450.0,3450.0,2024-06-01
Anew Hotel,,11973.92,91800.0,2024-07-01
Anew Hotel,,816.89,6262.83,2024-07-01
Arcadia Hotel (Aaa),,0.0,0.0,2024-07-01
Avis (Avs),,346.3,2655.06,2024-07-01
Avis Or Tambo (Avo),,1844.68,14142.51,2024-07-01
Be@Home,,1683.91,12910.0,2024-07-01
Cajori Hotel (Cjh),,414.78,3180.0,2024-07-01
Club Cocomo Guest House (Clg),,847.83,6500.0,2024-07-01
Ez Shuttle (Ezs),,640.43,4910.0,2024-07-01
Fly Safair (640),,22478.79,172315.89,2024-07-01
Garden Court,,420.0,3220.0,2024-07-01
Garden Court,,2031.96,15578.42,2024-07-01
Garden Court,,1852.18,14200.0,2024-07-01
Garden Court,,4799.89,37828.1,2024-07-01
Garden Court,,19941.89,171402.8,2024-07-01
Glen Afric Lodge (Gal),,2021.73,15500.0,2024-07-01
Grace Place B & B (Gpb),,558.26,4280.0,2024-07-01
Hemingways Hotel East London (Hmw),,2015.22,15450.0,2024-07-01
Hertz King Shaka Durban (Hks),,3365.9,25805.2,2024-07-01
Hertz Or Tambo Or Tambo (Htz),,748.73,5740.23,2024-07-01
Intercape Cape Town,,99539.03,763132.46,2024-07-01
Kassaboera Lodge (Kl),,4239.13,32500.0,2024-07-01
Kriel Bed & Breakfast (Krl),,169.57,1300.0,2024-07-01
La Joya Lodge And Spa Pty (Ltd) (Ljl),,0.0,3300.0,2024-07-01
Lanas Boutique Hotel (Lnh),,313.04,2400.0,2024-07-01
Masego Guest House (Mgh),,118.7,910.0,2024-07-01
Maseru Entertainment Parks (Mep),,6404.35,49100.0,2024-07-01
Mmabatho Palms Hotel Casino Convention Resort (Mbp),,252.39,1935.0,2024-07-01
Mogologadikwe Gardens (Mgd),,156.52,1200.0,2024-07-01
Monsieur Dvan (Mss),,189.13,1450.0,2024-07-01
Orion Safari,,1594.57,12225.0,2024-07-01
Oryx Boutique Hotel (Obh),,841.3,6450.0,2024-07-01
Protea By Marriott,,1667.31,12782.73,2024-07-01
Protea By Marriott,,13353.45,119374.19,2024-07-01
Protea Hotel By Marriot Klerksdorp (Pkk),,2441.44,18717.75,2024-07-01
Radisson Blu Hotel Durban Umhlanga (Rdb),,7307.67,56025.45,2024-07-01
Rametsi Game Lodge (Rml),,15000.0,115000.0,2024-07-01
Rengwe Guest House (Rgg),,1491.0,11431.0,2024-07-01
Rio Hotel Casino Resort (Rhc),,7138.04,54725.0,2024-07-01
Rivendell House (Rvd),,2494.57,19125.0,2024-07-01
Road Lodge Cape Town International Airport (Rcp),,540.13,4141.0,2024-07-01
Road Lodge Rustenburg (Rdr),,2146.43,16456.0,2024-07-01
S A Airways (083),,6707.05,51420.94,2024-07-01
Sandton Lodge Rivonia (Slr),,356.08,2730.0,2024-07-01
Shaka Tours & Safaris (Sts),,0.0,5175.0,2024-07-01
Southern Sun,,1584.04,12144.32,2024-07-01
Southern Sun,,906.94,6953.15,2024-07-01
Southern Sun,,4069.56,31200.0,2024-07-01
Sparkling Waters Hotel & Spa (Spw),,393.91,3020.0,2024-07-01
Stonehenge River Lodge (Sth),,2332.17,17880.0,2024-07-01
Sun City,,127.85,980.0,2024-07-01
The Capital,,233.14,1787.4,2024-07-01
The Kingdom Resort (Tkr),,203.48,1560.01,2024-07-01
The Maslow Hotel Sandton (Mst),,487.83,3740.0,2024-07-01
The Pearl Klerksdorp (Tpk),,1773.91,13600.0,2024-07-01
